id;TemaPrioritario;FONTE;CodiceCategoria;CATEGORIA;UNITA;FinProvincia;FinRegione;TotSpese
1088;11;Agenda digitale;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;5000;5000;10000
1124;7;Ricerca e innovazione;18;TECNOLOGIE INFORMATICHE;ASSISI;48582,51;48582,51;22809,98
1125;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;3491,55;3491,55;16293,9
1126;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;9126;9126;17748
1127;4;Ricerca e innovazione;18;TECNOLOGIE INFORMATICHE;ASSISI;53260,35;53260,35;155479,3
1153;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;40425;40425;99150
1154;4;Ricerca e innovazione;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;47250;47250;175500
1180;4;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;17675;17675;65650
1244;7;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;18750;18750;112500
1251;7;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;99542,8;99542,8;577215,9
1252;4;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;78165;78165;191070
1269;4;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;144745,76;144745,76;813908,48
1317;4;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;42350;42350;157300
1326;43;Energia e efficienza energetica;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;26000;26000;78000
1350;6;Ricerca e innovazione;12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;ASSISI;6599,01;6599,02;
1364;6;Ricerca e innovazione;12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;ASSISI;68317,25;90265,04;
1379;6;Ricerca e innovazione;12;RIASSETTO E RECUPERO DI SITI URBANI E PRODUTTIVI;ASSISI;12065,38;12065,37;29493,15
1432;43;Energia e efficienza energetica;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;63165,16;63165,16;378990,94
1444;51;Ambiente e prevenzione dei rischi;11;PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE;ASSISI;95633,71;95633,72;
1474;4;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;26320;26320;97760
1502;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;58135;58135;158430
1510;4;Ricerca e innovazione;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;36287,5;36287,5;104425
1523;43;Energia e efficienza energetica;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;5638,65;5638,65;40029,7
1536;7;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;30420;30420;141960
