Cartella;IP;GravitaIP;EtaAnni;MORTE;MC;SURVIVALTIME;Terapia;Antiaritmico;PesoKg;VTricuspide;AsxAo;OndaE;OndaEA;FrazEspuls;FrazAccorc;EDVI;ESVI;Allodiast;Allosist
B1216;SI;2;9,97;1;1;1217;4;NO;16;3,6;1,78;1,29;1,87;80;47;184,74;38,57;2,22;1,15
G1308;SI;2;12,61;1;0;854;2;NO;6;3,6;2,44;1,2;1,85;82;49;202,89;37,54;2,35;1,2
F1410;SI;2;13,91;1;0;314;3;NO;22,5;3,6;2,31;1,54;2,17;65;36;230,68;84,06;2,45;1,55
D0712;SI;2;12,85;1;1;856;2;NO;8,1;3,61;2,1;1,27;1,32;73;41;109,17;29,85;1,79;1,07
G0608;SI;2;14,46;1;1;13;2;NO;5;3,7;2,87;1,53;2,78;88;56;94,35;11,83;1,71;,76
P1009;SI;2;10,44;1;1;625;4;NO;10;3,79;3,09;1,66;,15;72;42;356,69;71,1;2,57;1,5
M1136;SI;2;12,73;1;1;711;4;NO;16,8;3,85;2,37;,94;,82;62;33;171,05;64,21;2,16;1,44
M1505;SI;2;12,11;0;;2906;3;NO;5,8;3,87;1,72;,87;1,14;72;39;57,08;16;1,39;,85
N1204;SI;2;14,71;1;1;494;4;NO;4,6;3,87;2,17;2,25;2,18;81;48;126,69;23,9;1,93;1
M1113;SI;2;15,26;1;1;150;3;NO;5;3,93;2,24;1,49;2,07;85;53;145,39;21,49;2,04;,95
P1302;SI;2;12,07;1;1;189;4;NO;7,8;3,95;2,87;1,8;2,28;77;46;259,76;59,2;2,59;1,4
A1301;SI;2;12,02;1;0;787;3;NO;7,5;4,01;1,99;1,54;1,19;88;57;147,27;17,51;2,04;,87
S1005;SI;2;15,26;1;1;527;3;NO;4,15;4,02;1,95;,96;1,3;78;45;117,78;25,18;1,88;1,02
B1507;SI;2;14,37;1;1;1083;2;NO;18;4,15;2,01;,84;,75;70;39;112,82;34,13;1,8;1,1
L0805;SI;2;13,14;1;1;560;4;NO;10;4,24;2,47;1,74;2,95;82;50;155,3;28,33;2,07;1,04
P1317;SI;3;14,32;1;1;201;3;NO;10;4,31;3,33;1,34;1,84;83;52;176,58;29,58;2,18;1,04
V1011;SI;3;10,98;1;1;315;2;NO;16;4,35;2,35;1,63;3,02;72;42;249,26;69,69;2,53;1,47
B1620;SI;3;7,33;0;;252;3;NO;12,35;4,43;1,75;1,47;1,96;78;46;110,3;24,29;1,79;,97
V1001;SI;3;11,07;1;1;492;4;SI;22,4;4,44;2,79;1,7;;81;51;383,42;45,66;2,5;1,23
T1204;SI;3;14,67;0;;0;4;NO;7;4,5;2,18;1,82;2,3;82;51;159,18;28,46;2,09;1,04
R1008;SI;3;8,44;1;1;408;4;NO;7;4,51;2,62;1,02;1,89;78;47;203;44,06;2,33;1,25
G1006;SI;3;11,35;1;1;46;4;NO;8,8;4,51;2,77;1,74;;78;46;260,51;41,33;2,23;1,21
A1403;SI;3;13,39;1;1;275;4;NO;8;4,54;2,49;;;74;41;104,55;29,51;1,76;1,03
Z1003;SI;3;12,4;1;1;43;3;NO;14;4,6;2,52;;;77;46;371,13;57,22;2,54;1,36
B1135;SI;3;14,19;1;1;269;4;NO;2,5;5,09;3,1;1,51;2,56;79;47;180,58;38,38;2,21;1,16
G0601;SI;3;14,06;1;1;659;2;NO;5;5,17;2,31;1,06;2,26;82;50;249,98;45,64;2,55;1,28
